"id","title","x","y","marker_html","title_html","body_html"
"finur","Finur","54","0","<span class=""ra ra-spikeball"" style=""color:#a11011;font-size:12px;"">
            </span>","<span class=""fas fa-chess-rook"" style=""font-size:20px;""></span>Finur","La ciudad más al norte de Gran Siniestra, así como el más frío.<br>Se cree que es el sitio donde los Kal'arch guardan todas sus posesiones más valiosas y los tesoros que durante generaciones consiguió el reino de Lorentia.<br><br><h1>VEGETACIÓN:</h1> Acónito, Welwitschia, Pino del Diablo</br>
            <h1>MONSTRUOS:</h1> Draco</br>
            <h1>MINERALES:</h1> Hierro"
"melgar","Mêlgar","57","28","<span class=""ra ra-kaleidoscope"" style=""color:#a11011;font-size:14px;"">
            </span>","<span class=""ra ra-kaleidoscope"" style=""font-size:20px;""></span>Mêlgar","Famoso por sus ruinas de enanos.<br>Una importante zona minera con grandes recursos de los mejores materiales.<br><br>Recibe el mismo nombre la península donde se encuentra, y separado de Lorhestiel está por el Mar Brannthôr, este mar sufrió antaño un gran desprendimiento de diferentes minerales de las costas de Mêlgar, que transformaron en tóxicas sus aguas. Además, al estar lleno de pequeños islotes, rocas y riscos, hay gran cantidad de nidos de sirenas y arpías, lo que lo hace un mar poco recomendable para navegar.<br><br><h1>VEGETACIÓN:</h1>Espino de Hart, Pino del Diablo</br>
            <h1>MONSTRUOS:</h1>Quimera, Las'kram, Vieszcy</br><h1>MINERALES:</h1>Mercurio, Plata</br><h1>COMIDA:</h1>Carne de Caza, Patata"
"ciudadela","Ciudadela","61","5","<span class=""ra ra-spikeball"" style=""color:#a11011;font-size:12px;"">
            </span>","<span class=""fas fa-chess-rook"" style=""font-size:20px;""></span>Ciudadela","Ciudad norteña, bastión de la casa Rahdun.<br>Su nombre viene de la antigua Ciudadela que había allí, lugar de estudio y reflexión del que salieron grandes filósofos, alquimistas, médicos, y que siempre han favorecido a la casa Kal'arch.<br><br><h1>VEGETACIÓN:</h1> Acónito, Welwitschia, Pino del Diablo</br>
            <h1>MONSTRUOS:</h1> Draco"
"brumhanv","Brumhanv","58","3.5","<span class=""ra ra-spikeball"" style=""color:#a11011;font-size:12px;"">
            </span>","<span class=""fas fa-chess-rook"" style=""font-size:20px;""></span>Brumhanv","Ciudad en la isla Draugrkas, importante por su puerto y habilidad pesquera, que alimenta a gran parte del territorio Kal'arch.<br>Es la ciudad de la casa Vallza.<br><br><h1>VEGETACIÓN:</h1> Acónito, Welwitschia, Pino del Diablo</br>
            <h1>MONSTRUOS:</h1> Draco, Wyvern<br>
              <h1>ALIMENTOS:</h1> Fresas, Trucha, Salmón, Lubina."
"norvigar","Norvigar","60.5","11","<span class=""ra ra-spikeball"" style=""color:#a11011;font-size:12px;"">
            </span>","<span class=""fas fa-chess-rook"" style=""font-size:20px;""></span>Norvigar","Ciudad en el valle entre grandes peñascos y precipicios.<br>Es la ciudad de la casa Kev'red.<br><br><h1>VEGETACIÓN:</h1> Acónito, Pino del Diablo</br>
            <h1>MONSTRUOS:</h1> Draco, Arpía"
"fuerte-desolacion","Fuerte Desolación","66","14","<span class=""fas fa-chess-rook"" style=""color:#a11011;font-size:12px;"">
            </span>","<span class=""fas fa-chess-rook"" style=""font-size:20px;""></span>Fuerte Desolación","Ciudad clave del paso de mercancías y viajeros hacia el norte.<br>Es la ciudad de la casa Ard.<br><br><h1>VEGETACIÓN:</h1> Acónito, Pino del Diablo, Raíz de Mandrágora</br>
            <h1>MONSTRUOS:</h1> Draco, Arpía<br>
 <h1>ALIMENTOS:</h1> Patatas, Fresas y Carne de Caza."
"villa-refugio","Villa Refugio","67","11.5","<span class=""ra ra-spikeball"" style=""color:#a11011;font-size:12px;"">
            </span>","<span class=""fas fa-chess-rook"" style=""font-size:20px;""></span>Villa Refugio","Pequeña aldea fundada por viajeros que recorrían el norte y debían buscar refugio durante tormentas o grandes nevadas.<br><br><h1>VEGETACIÓN:</h1> Acónito, Pino del Diablo</br>
            <h1>MONSTRUOS:</h1> Draco, Arpía<br>
 <h1>ALIMENTOS:</h1> Setas, Bayas."
"edhen","Edhen","61","-0.5","<span class=""ra ra-kaleidoscope"" style=""color:#a11011;font-size:14px;"">
            </span>","<span class=""ra ra-kaleidoscope"" style=""font-size:20px;""></span>Edhen","Paisaje completamente helado. Una gran zona blanca de frío extremo.<br><br>Está separado del continente por un gran lago, normalmente helado.<br><br><h1>VEGETACIÓN:</h1>Acónito, Welwitschia, Pino del Diablo</br><h1>MONSTRUOS:</h1>Draco, Cocatriz, Arpía"
"bosque-blanco","Bosque Blanco","59","11","<span class=""fab fa-pagelines"" style=""color:#a11011;font-size:14px;"">
            </span>","<span class=""fab fa-pagelines"" style=""font-size:20px;""></span>Bosque Blanco","Un gran area de vegetación poco espesa completamente blanca debido a la nieve.<br><br><h1>VEGETACIÓN:</h1>Bejín, Espino de Hart, Pino del Diablo</br><h1>MONSTRUOS:</h1>Garuba, Espina Roja, Arpía, Lisovik</br><h1>COMIDA:</h1>Carne de Caza, Patata, Huevo"
"bastion-espanto","Bastión Espanto","55.5","16","<span class=""fas fa-chess-rook"" style=""color:#a11011;font-size:12px;"">
            </span>","<span class=""fas fa-chess-rook"" style=""font-size:20px;""></span>Bastión Espanto","Bartión fortificado donde los Kal'arch han entrenado a su ejército durante generaciones.<br>Con el tiempo, al rededor de la fortificación se fueron creando casas y comercios locales para dar cobijo a los soldados que allí vivían.<br><br><h1>VEGETACIÓN:</h1> Acónito, Pino del Diablo, Raíz de Mandrágora</br>
            <h1>MONSTRUOS:</h1> Draco, Arpía<br>
 <h1>ALIMENTOS:</h1> Patatas, Fresas y Carne de Caza."
